WORD,WORD_LOWER,WORD_CLASS,EMO_MEAN,EMO_STD,AROUSAL_MEAN,AROUSAL_STD,IMAGE_MEAN,IMAGE_STD,LETTERS,PHONEMES,SYLLABLES,Ftot/1MIL,N,FN,HFN,FHFN,BIGmean(TOKEN),ACCENT
ANGEBEN,angeben,V,-1.382352941,1.015477373,2.761904762,1.220850601,2.692307692,1.289006773,7,7,3,33.5,4,112.83,1,71.67,366311.5,1
ANGEBOT,angebot,N,0.970588235,0.869876136,2.904761905,1.04425868,3.576923077,1.701130846,7,7,3,198.3333333,0,0,0,0,137624.8333,1
ANGEHEN,angehen,V,0.705882353,1.000890869,2.368421053,1.065130473,1.692307692,0.88404664,7,6,3,31.83333333,3,134.17,2,126.83,349313.3333,1
ANGEKLAGTE,angeklagte,N,-1.647058824,0.883599832,3.380952381,0.973457265,4.730769231,1.613882085,10,10,4,46.83333333,0,0,0,0,134842.4444,1
ANGEL,angel,N,-0.15,1.13670808,2.15,1.089422831,5.13636364,1.67034227,5,4,2,5.333333333,2,32,1,31.5,220552.5,1
ANGEREGT,angeregt,A,1.3,0.67,3.473684211,0.841191024,3.22,1.2,8,8,3,10.16666667,0,0,0,0,362186.7143,1
ANGLER,angler,N,-0.2,0.95145318,2,0.816496581,5.77272727,1.19250909,6,5,2,1,0,0,0,0,422923.4,1
ANGRIFF,angriff,N,-2,1.054092553,4,0.84016805,4.777777778,1.481365736,7,6,2,73.66666667,0,0,0,0,100084,1
ANGST,angst,N,-2.6,0.699205899,4.380952381,0.589592272,3.888888889,1.364225462,5,4,1,101.3333333,0,0,0,0,165089.5,1
ANHEIZEN,anheizen,V,0.5,0.71,2.833333333,1.098126747,4.56,1.24,8,7,3,2.333333333,1,5,1,5,315689.1429,1
ANKER,anker,N,1,0.97332853,1.888888889,0.963381843,5.31818182,1.64422115,5,5,2,3.166666667,3,3.83,1,3.33,455514.75,1
ANKLAGE,anklage,N,-1.5,0.971825316,3.857142857,0.654653671,3.666666667,1.414213562,7,7,3,24,0,0,0,0,127141.8333,1
ANKLAGEN,anklagen,V,-1.3,0.67,3.833333333,1.019916607,4.33,1.5,8,8,3,10.5,0,0,0,0,256723.8571,1
ANKLANG,anklang,N,1.4,0.843274043,1.722222222,0.751903902,2.111111111,1.054092553,7,6,2,2.5,0,0,0,0,134747.5,1
ANLEGEN,anlegen,V,0.205882353,1.066839335,2,0.816496581,2.730769231,1.686598762,7,7,3,38.83333333,5,44.33,0,0,305913.8333,1
ANLEIHE,anleihe,N,-0.852941176,1.076817785,2.238095238,1.04425868,2.115384615,1.366072416,7,5,3,36.5,0,0,0,0,215899.1667,1
ANLOCKEN,anlocken,V,0.4,0.97,2.433333333,1.006301982,4.11,1.05,8,7,3,2.166666667,2,2,0,0,205059.4286,1
ANMUT,anmut,N,1.8,0.69585237,2.25,0.930949336,3.13636364,1.75378379,5,5,2,3.5,2,17.83,2,17.83,78299.5,1
ANMUTIG,anmutig,A,1.9,0.74,2.333333333,1.084652289,4,1.58,7,7,3,3.833333333,0,0,0,0,89339.16667,1
ANNAHME,annahme,N,0.235294118,0.740958574,2.3125,0.793200269,2.115384615,1.505374985,7,6,3,33.5,1,7.67,0,0,103352.5,1
ANNEHMEN,annehmen,V,0.735294118,0.898106545,2.380952381,1.160869953,2.615384615,1.675157857,8,7,3,134.5,1,28.67,0,0,258165.2857,1
ANOMAL,anomal,A,-1.5,0.53,2.315789474,1.293257368,2.56,1.24,6,6,3,2.666666667,0,0,0,0,107897.6,3
ANOMALIE,anomalie,N,-1.5,0.849836586,3.666666667,0.766964989,3.555555556,1.509230856,8,7,4,0.5,0,0,0,0,142940.2857,4
ANONYM,anonym,A,-0.4,0.52,2.684210526,1.204280863,2,1.41,6,6,3,10,0,0,0,0,82837.2,3
ANORMAL,anormal,A,-1.4,0.52,2.421052632,1.261207071,2.33,1.22,7,7,3,0.666666667,0,0,0,0,105290.3333,1
ANPUMPEN,anpumpen,V,-1.1,0.32,2.421052632,1.387074839,4.22,1.39,8,8,3,0.833333333,0,0,0,0,194469.8571,1
ANREGUNG,anregung,N,1.3,0.483045892,3.111111111,1.131832917,2.666666667,1.414213562,8,7,3,34.5,0,0,0,0,164198.5714,1
ANREIZ,anreiz,N,1.3,0.65694669,3.736842105,1.097578408,2.27272727,1.4203225,6,5,2,9.333333333,0,0,0,0,221891.6,1
ANRUF,anruf,N,1.35,0.74515982,2.833333333,0.857492926,3.68181818,1.42716381,5,5,2,15,1,1.5,0,0,96445,1
ANRUFEN,anrufen,V,1.205882353,1.066839335,2.842105263,1.167293065,5.115384615,1.366072416,7,7,3,30.33333333,1,2.5,0,0,248435.1667,1
ANSPORN,ansporn,N,1.5,1.08012345,3.277777778,0.894792487,2.333333333,0.866025404,7,7,2,3.333333333,0,0,0,0,90336,1
ANSPRECHEN,ansprechen,V,0.852941176,1.076817785,2.714285714,1.27054544,3.653846154,1.742235522,10,9,3,37.83333333,0,52,1,52,300611.8889,1
ANSTEHEN,anstehen,V,-0.9,1.2,2.473684211,1.218761715,4.56,1.24,8,7,3,3,1,4,1,4,309730.4286,1
ANTEIL,anteil,N,0.3,0.674948558,2.3125,0.793200269,2.666666667,1.118033989,6,5,2,95.66666667,1,3.5,0,0,259481,1
ANTRAG,antrag,N,0.3,0.823272602,3.058823529,1.088036548,3.666666667,1.224744871,6,6,2,83.16666667,1,0,0,0,118098.4,1
ANTWORT,antwort,N,0.941176471,0.850710094,2.684210526,1.157230006,2.692307692,1.5432234,7,7,2,160.5,0,0,0,0,97030.66667,1
ANTWORTEN,antworten,V,0.970588235,0.869876136,2.157894737,0.834210065,3.538461538,1.902225417,9,9,3,93.66666667,0,0,0,0,235705.375,1
ANWALT,anwalt,N,-0.2,1.05630936,2.894736842,1.149624907,4.31818182,1.61500003,6,6,2,25.83333333,1,1.67,0,0,100729.6,1
ANWIDERN,anwidern,V,-2,0.67,3.526315789,1.020262551,4,1.58,8,8,3,1,0,0,0,0,408119.2857,1
ANZAHL,anzahl,N,0.2,0.52314836,1.705882353,0.848874688,2.63636364,1.86561504,6,5,2,39.16666667,1,2.17,0,0,76366.8,1
APATHIE,apathie,N,-1.6,1.0749677,3.333333333,1.236693885,3.333333333,1.802775638,7,5,3,1,0,0,0,0,75781.5,3
APFEL,apfel,N,1.2,1.00524938,1.833333333,0.857492926,6.22727273,1.44524897,5,4,2,12.33333333,0,0,0,0,59853,1
APPETIT,appetit,N,1.1,0.994428926,2.722222222,1.017815166,3.555555556,1.589898669,7,6,3,6.333333333,0,0,0,0,74331.66667,3
APPLAUS,applaus,N,1.8,0.918936583,3.588235294,1.003669737,5.666666667,1.224744871,7,5,2,4.5,0,0,0,0,71207.33333,2
AQUARIUM,aquarium,N,0.59,1.33,1.36,0.66,5.73,1.52,8,8,4,1.67,0,0,0,0,36278.71429,2
ARBEIT,arbeit,N,0.05,1.43178211,2.833333333,0.785905248,3.40909091,1.56324117,6,5,2,532,0,0,0,0,267820.8,1
ARBEITEN,arbeiten,V,-0.058823529,1.253871011,2.684210526,0.945905303,5.153846154,1.515052677,8,7,3,241.1666667,1,291,1,291,377509,1
ARBEITER,arbeiter,N,-0.235294118,1.102581641,2.222222222,1.114374293,5.115384615,1.505374985,8,7,3,291,1,241.17,0,0,442272.2857,1
ARCHIV,archiv,N,0.45,0.94451324,1.894736842,0.809302638,3.5,1.89611131,6,5,2,7.333333333,0,0,0,0,189136.8,2
ARG,arg,A,-1.2,0.63,2.526315789,1.073334423,2.44,1.67,3,3,1,15.33333333,0,0,0,0,63442.5,1
